#,Species,Plot #,Substrate,Date (mmmdd) ,substrate (um),Activity (umol g-1 hr-1),activity/[S]
1,FRAM,1,AP ,1-Mar,6,0.18482,0.0308
361,FRAM,1,AP ,1-Mar,30,0.38716,0.0129
721,FRAM,1,AP ,1-Mar,60,0.55116,0.0092
1081,FRAM,1,AP ,1-Mar,100,0.65619,0.0066
1441,FRAM,1,AP ,1-Mar,160,0.95801,0.006
1801,FRAM,1,AP ,1-Mar,250,1.1679,0.0047
2161,FRAM,1,AP ,1-Mar,500,1.1072,0.0022
2521,FRAM,1,AP ,1-Mar,750,0.92305,0.0012
2881,FRAM,1,AP ,1-Mar,1000,0.81351,0.0008
2,FRAM,2,AP ,1-Mar,6,0.24762,0.0413
362,FRAM,2,AP ,1-Mar,30,0.63799,0.0213
722,FRAM,2,AP ,1-Mar,60,1.0199,0.017
1082,FRAM,2,AP ,1-Mar,100,1.084,0.0108
1442,FRAM,2,AP ,1-Mar,160,1.5973,0.01
1802,FRAM,2,AP ,1-Mar,250,2.0492,0.0082
2162,FRAM,2,AP ,1-Mar,500,1.9221,0.0038
2522,FRAM,2,AP ,1-Mar,750,1.9534,0.0026
2882,FRAM,2,AP ,1-Mar,1000,1.6065,0.0016
3,FRAM,3,AP ,1-Mar,6,0.21211,0.0354
363,FRAM,3,AP ,1-Mar,30,0.55561,0.0185
723,FRAM,3,AP ,1-Mar,60,0.80215,0.0134
1083,FRAM,3,AP ,1-Mar,100,0.95469,0.0095
1443,FRAM,3,AP ,1-Mar,160,1.1846,0.0074
1803,FRAM,3,AP ,1-Mar,250,1.3051,0.0052
2163,FRAM,3,AP ,1-Mar,500,1.5639,0.0031
2523,FRAM,3,AP ,1-Mar,750,1.6099,0.0021
2883,FRAM,3,AP ,1-Mar,1000,1.8113,0.0018
4,FRAM,4,AP ,1-Mar,6,0.4279,0.0713
364,FRAM,4,AP ,1-Mar,30,1.5625,0.0521
724,FRAM,4,AP ,1-Mar,60,2.7351,0.0456
1084,FRAM,4,AP ,1-Mar,100,3.3367,0.0334
1444,FRAM,4,AP ,1-Mar,160,4.464,0.0279
1804,FRAM,4,AP ,1-Mar,250,5.9501,0.0238
2164,FRAM,4,AP ,1-Mar,500,7.5545,0.0151
2524,FRAM,4,AP ,1-Mar,750,7.6396,0.0102
2884,FRAM,4,AP ,1-Mar,1000,8.6024,0.0086
5,FRAM,5,AP ,1-Mar,6,0.35999,0.06
365,FRAM,5,AP ,1-Mar,30,1.2282,0.0409
725,FRAM,5,AP ,1-Mar,60,2.1955,0.0366
1085,FRAM,5,AP ,1-Mar,100,2.3026,0.023
1445,FRAM,5,AP ,1-Mar,160,3.2354,0.0202
1805,FRAM,5,AP ,1-Mar,250,4.2945,0.0172
2165,FRAM,5,AP ,1-Mar,500,4.9165,0.0098
2525,FRAM,5,AP ,1-Mar,750,5.3515,0.0071
2885,FRAM,5,AP ,1-Mar,1000,5.3678,0.0054
6,FRAM,6,AP ,1-Mar,6,0.29734,0.0496
366,FRAM,6,AP ,1-Mar,30,0.96401,0.0321
726,FRAM,6,AP ,1-Mar,60,1.5303,0.0255
1086,FRAM,6,AP ,1-Mar,100,1.5731,0.0157
1446,FRAM,6,AP ,1-Mar,160,2.0036,0.0125
1806,FRAM,6,AP ,1-Mar,250,2.4155,0.0097
2166,FRAM,6,AP ,1-Mar,500,2.5321,0.0051
2526,FRAM,6,AP ,1-Mar,750,2.4156,0.0032
2886,FRAM,6,AP ,1-Mar,1000,2.543,0.0025
7,QURU,1,AP ,1-Mar,6,0.15057,0.0251
367,QURU,1,AP ,1-Mar,30,0.36751,0.0123
727,QURU,1,AP ,1-Mar,60,0.47722,0.008
1087,QURU,1,AP ,1-Mar,100,0.64656,0.0065
1447,QURU,1,AP ,1-Mar,160,0.78881,0.0049
1807,QURU,1,AP ,1-Mar,250,0.93051,0.0037
2167,QURU,1,AP ,1-Mar,500,1.0454,0.0021
2527,QURU,1,AP ,1-Mar,750,0.97223,0.0013
2887,QURU,1,AP ,1-Mar,1000,0.93193,0.0009
8,QURU,2,AP ,1-Mar,6,0.13441,0.0224
368,QURU,2,AP ,1-Mar,30,0.36908,0.0123
728,QURU,2,AP ,1-Mar,60,0.49335,0.0082
1088,QURU,2,AP ,1-Mar,100,0.59971,0.006
1448,QURU,2,AP ,1-Mar,160,0.75853,0.0047
1808,QURU,2,AP ,1-Mar,250,0.82332,0.0033
2168,QURU,2,AP ,1-Mar,500,0.80639,0.0016
2528,QURU,2,AP ,1-Mar,750,0.77337,0.001
2888,QURU,2,AP ,1-Mar,1000,0.73001,0.0007
9,QURU,3,AP ,1-Mar,6,0.14698,0.0245
369,QURU,3,AP ,1-Mar,30,0.36413,0.0121
729,QURU,3,AP ,1-Mar,60,0.58777,0.0098
1089,QURU,3,AP ,1-Mar,100,0.58339,0.0058
1449,QURU,3,AP ,1-Mar,160,0.82276,0.0051
1809,QURU,3,AP ,1-Mar,250,1.1248,0.0045
2169,QURU,3,AP ,1-Mar,500,1.0983,0.0022
2529,QURU,3,AP ,1-Mar,750,0.97539,0.0013
2889,QURU,3,AP ,1-Mar,1000,0.92978,0.0009
10,QURU,4,AP ,1-Mar,6,0.21315,0.0355
370,QURU,4,AP ,1-Mar,30,0.61054,0.0204
730,QURU,4,AP ,1-Mar,60,0.90976,0.0152
1090,QURU,4,AP ,1-Mar,100,1.0292,0.0103
1450,QURU,4,AP ,1-Mar,160,1.5168,0.0095
1810,QURU,4,AP ,1-Mar,250,1.9098,0.0076
2170,QURU,4,AP ,1-Mar,500,2.0191,0.004
2530,QURU,4,AP ,1-Mar,750,2.2196,0.003
2890,QURU,4,AP ,1-Mar,1000,2.2061,0.0022
11,QURU,5,AP ,1-Mar,6,0.15159,0.0253
371,QURU,5,AP ,1-Mar,30,0.50502,0.0168
731,QURU,5,AP ,1-Mar,60,0.66292,0.011
1091,QURU,5,AP ,1-Mar,100,0.80495,0.008
1451,QURU,5,AP ,1-Mar,160,0.90228,0.0056
1811,QURU,5,AP ,1-Mar,250,1.1046,0.0044
2171,QURU,5,AP ,1-Mar,500,0.86524,0.0017
2531,QURU,5,AP ,1-Mar,750,0.77671,0.001
2891,QURU,5,AP ,1-Mar,1000,0.67631,0.0007
12,QURU,6,AP ,1-Mar,6,0.16013,0.0267
372,QURU,6,AP ,1-Mar,30,0.57207,0.0191
732,QURU,6,AP ,1-Mar,60,0.72441,0.0121
1092,QURU,6,AP ,1-Mar,100,0.96537,0.0097
1452,QURU,6,AP ,1-Mar,160,1.0582,0.0066
1812,QURU,6,AP ,1-Mar,250,1.044,0.0042
2172,QURU,6,AP ,1-Mar,500,1.0489,0.0021
2532,QURU,6,AP ,1-Mar,750,0.94735,0.0013
2892,QURU,6,AP ,1-Mar,1000,0.69537,0.0007
13,TSCA,1,AP ,1-Mar,6,0.19303,0.0322
373,TSCA,1,AP ,1-Mar,30,0.66602,0.0222
733,TSCA,1,AP ,1-Mar,60,1.0322,0.0172
1093,TSCA,1,AP ,1-Mar,100,1.3919,0.0139
1453,TSCA,1,AP ,1-Mar,160,2.0588,0.0129
1813,TSCA,1,AP ,1-Mar,250,2.815,0.0113
2173,TSCA,1,AP ,1-Mar,500,3.7771,0.0076
2533,TSCA,1,AP ,1-Mar,750,4.635,0.0062
2893,TSCA,1,AP ,1-Mar,1000,4.3195,0.0043
14,TSCA,2,AP ,1-Mar,6,0.15111,0.0252
374,TSCA,2,AP ,1-Mar,30,0.36272,0.0121
734,TSCA,2,AP ,1-Mar,60,0.4837,0.0081
1094,TSCA,2,AP ,1-Mar,100,0.51823,0.0052
1454,TSCA,2,AP ,1-Mar,160,0.7144,0.0045
1814,TSCA,2,AP ,1-Mar,250,0.82993,0.0033
2174,TSCA,2,AP ,1-Mar,500,0.84903,0.0017
2534,TSCA,2,AP ,1-Mar,750,1.0256,0.0014
2894,TSCA,2,AP ,1-Mar,1000,0.77762,0.0008
15,TSCA,3,AP ,1-Mar,6,0.1285,0.0214
375,TSCA,3,AP ,1-Mar,30,0.31469,0.0105
735,TSCA,3,AP ,1-Mar,60,0.43063,0.0072
1095,TSCA,3,AP ,1-Mar,100,0.58217,0.0058
1455,TSCA,3,AP ,1-Mar,160,0.79007,0.0049
1815,TSCA,3,AP ,1-Mar,250,0.95616,0.0038
2175,TSCA,3,AP ,1-Mar,500,1.1089,0.0022
2535,TSCA,3,AP ,1-Mar,750,1.2537,0.0017
2895,TSCA,3,AP ,1-Mar,1000,1.1452,0.0011
16,TSCA,4,AP ,1-Mar,6,0.15997,0.0267
376,TSCA,4,AP ,1-Mar,30,0.53541,0.0178
736,TSCA,4,AP ,1-Mar,60,0.82977,0.0138
1096,TSCA,4,AP ,1-Mar,100,0.93224,0.0093
1456,TSCA,4,AP ,1-Mar,160,1.214,0.0076
1816,TSCA,4,AP ,1-Mar,250,1.4967,0.006
2176,TSCA,4,AP ,1-Mar,500,1.4917,0.003
2536,TSCA,4,AP ,1-Mar,750,1.8371,0.0024
2896,TSCA,4,AP ,1-Mar,1000,1.367,0.0014
17,TSCA,5,AP ,1-Mar,6,0.19006,0.0317
377,TSCA,5,AP ,1-Mar,30,0.5908,0.0197
737,TSCA,5,AP ,1-Mar,60,0.91064,0.0152
1097,TSCA,5,AP ,1-Mar,100,1.1485,0.0115
1457,TSCA,5,AP ,1-Mar,160,1.4459,0.009
1817,TSCA,5,AP ,1-Mar,250,1.1562,0.0046
2177,TSCA,5,AP ,1-Mar,500,1.2336,0.0025
2537,TSCA,5,AP ,1-Mar,750,1.3166,0.0018
2897,TSCA,5,AP ,1-Mar,1000,1.2694,0.0013
18,TSCA,6,AP ,1-Mar,6,0.14537,0.0242
378,TSCA,6,AP ,1-Mar,30,0.44694,0.0149
738,TSCA,6,AP ,1-Mar,60,0.54519,0.0091
1098,TSCA,6,AP ,1-Mar,100,0.49786,0.005
1458,TSCA,6,AP ,1-Mar,160,0.66405,0.0042
1818,TSCA,6,AP ,1-Mar,250,0.70971,0.0028
2178,TSCA,6,AP ,1-Mar,500,0.92464,0.0018
2538,TSCA,6,AP ,1-Mar,750,0.99059,0.0013
2898,TSCA,6,AP ,1-Mar,1000,0.98582,0.001
19,FRAM,1,AP ,11-Apr,6,0.26295,0.0438
379,FRAM,1,AP ,11-Apr,30,0.96295,0.0321
739,FRAM,1,AP ,11-Apr,60,1.4393,0.024
1099,FRAM,1,AP ,11-Apr,100,1.6701,0.0167
1459,FRAM,1,AP ,11-Apr,160,2.0496,0.0128
1819,FRAM,1,AP ,11-Apr,250,2.85,0.0114
2179,FRAM,1,AP ,11-Apr,500,3.6848,0.0074
2539,FRAM,1,AP ,11-Apr,750,3.6134,0.0048
2899,FRAM,1,AP ,11-Apr,1000,4.6115,0.0046
20,FRAM,2,AP ,11-Apr,6,0.26093,0.0435
380,FRAM,2,AP ,11-Apr,30,0.88043,0.0293
740,FRAM,2,AP ,11-Apr,60,1.1714,0.0195
1100,FRAM,2,AP ,11-Apr,100,1.5722,0.0157
1460,FRAM,2,AP ,11-Apr,160,1.991,0.0124
1820,FRAM,2,AP ,11-Apr,250,2.6085,0.0104
2180,FRAM,2,AP ,11-Apr,500,2.4553,0.0049
2540,FRAM,2,AP ,11-Apr,750,2.4485,0.0033
2900,FRAM,2,AP ,11-Apr,1000,2.9587,0.003
21,FRAM,3,AP ,11-Apr,6,0.25015,0.0417
381,FRAM,3,AP ,11-Apr,30,0.91887,0.0306
741,FRAM,3,AP ,11-Apr,60,1.5544,0.0259
1101,FRAM,3,AP ,11-Apr,100,1.8095,0.0181
1461,FRAM,3,AP ,11-Apr,160,2.3117,0.0144
1821,FRAM,3,AP ,11-Apr,250,2.1169,0.0085
2181,FRAM,3,AP ,11-Apr,500,3.0207,0.006
2541,FRAM,3,AP ,11-Apr,750,3.0153,0.004
2901,FRAM,3,AP ,11-Apr,1000,3.0278,0.003
22,FRAM,4,AP ,11-Apr,6,0.24637,0.0411
382,FRAM,4,AP ,11-Apr,30,0.64268,0.0214
742,FRAM,4,AP ,11-Apr,60,0.98247,0.0164
1102,FRAM,4,AP ,11-Apr,100,1.1078,0.0111
1462,FRAM,4,AP ,11-Apr,160,1.5385,0.0096
1822,FRAM,4,AP ,11-Apr,250,1.5253,0.0061
2182,FRAM,4,AP ,11-Apr,500,1.7955,0.0036
2542,FRAM,4,AP ,11-Apr,750,1.4532,0.0019
2902,FRAM,4,AP ,11-Apr,1000,1.3926,0.0014
23,FRAM,5,AP ,11-Apr,6,0.28974,0.0483
383,FRAM,5,AP ,11-Apr,30,1.1544,0.0385
743,FRAM,5,AP ,11-Apr,60,1.7353,0.0289
1103,FRAM,5,AP ,11-Apr,100,2.3553,0.0236
1463,FRAM,5,AP ,11-Apr,160,3.2573,0.0204
1823,FRAM,5,AP ,11-Apr,250,3.8233,0.0153
2183,FRAM,5,AP ,11-Apr,500,4.1828,0.0084
2543,FRAM,5,AP ,11-Apr,750,4.1725,0.0056
2903,FRAM,5,AP ,11-Apr,1000,4.0913,0.0041
24,FRAM,6,AP ,11-Apr,6,0.3569,0.0595
384,FRAM,6,AP ,11-Apr,30,1.1601,0.0387
744,FRAM,6,AP ,11-Apr,60,2.2151,0.0369
1104,FRAM,6,AP ,11-Apr,100,3.0143,0.0301
1464,FRAM,6,AP ,11-Apr,160,3.9108,0.0244
1824,FRAM,6,AP ,11-Apr,250,5.7456,0.023
2184,FRAM,6,AP ,11-Apr,500,4.9919,0.01
2544,FRAM,6,AP ,11-Apr,750,5.8351,0.0078
2904,FRAM,6,AP ,11-Apr,1000,4.7883,0.0048
25,QURU,1,AP ,11-Apr,6,0.32721,0.0545
385,QURU,1,AP ,11-Apr,30,0.98003,0.0327
745,QURU,1,AP ,11-Apr,60,1.7425,0.029
1105,QURU,1,AP ,11-Apr,100,2.2513,0.0225
1465,QURU,1,AP ,11-Apr,160,3.0646,0.0192
1825,QURU,1,AP ,11-Apr,250,3.4528,0.0138
2185,QURU,1,AP ,11-Apr,500,3.9428,0.0079
2545,QURU,1,AP ,11-Apr,750,3.5556,0.0047
2905,QURU,1,AP ,11-Apr,1000,4.7702,0.0048
26,QURU,2,AP ,11-Apr,6,0.19923,0.0332
386,QURU,2,AP ,11-Apr,30,0.5064,0.0169
746,QURU,2,AP ,11-Apr,60,0.74921,0.0125
1106,QURU,2,AP ,11-Apr,100,1.102,0.011
1466,QURU,2,AP ,11-Apr,160,1.3282,0.0083
1826,QURU,2,AP ,11-Apr,250,1.4431,0.0058
2186,QURU,2,AP ,11-Apr,500,1.5587,0.0031
2546,QURU,2,AP ,11-Apr,750,1.8206,0.0024
2906,QURU,2,AP ,11-Apr,1000,1.4152,0.0014
27,QURU,3,AP ,11-Apr,6,0.26314,0.0439
387,QURU,3,AP ,11-Apr,30,0.83807,0.0279
747,QURU,3,AP ,11-Apr,60,1.2235,0.0204
1107,QURU,3,AP ,11-Apr,100,1.5175,0.0152
1467,QURU,3,AP ,11-Apr,160,2.0177,0.0126
1827,QURU,3,AP ,11-Apr,250,2.1909,0.0088
2187,QURU,3,AP ,11-Apr,500,2.2252,0.0045
2547,QURU,3,AP ,11-Apr,750,2.3037,0.0031
2907,QURU,3,AP ,11-Apr,1000,1.8166,0.0018
28,QURU,4,AP ,11-Apr,6,0.24493,0.0408
388,QURU,4,AP ,11-Apr,30,0.96643,0.0322
748,QURU,4,AP ,11-Apr,60,1.6601,0.0277
1108,QURU,4,AP ,11-Apr,100,2.1176,0.0212
1468,QURU,4,AP ,11-Apr,160,2.9709,0.0186
1828,QURU,4,AP ,11-Apr,250,3.255,0.013
2188,QURU,4,AP ,11-Apr,500,3.6826,0.0074
2548,QURU,4,AP ,11-Apr,750,4.1264,0.0055
2908,QURU,4,AP ,11-Apr,1000,4.0333,0.004
29,QURU,5,AP ,11-Apr,6,0.50745,0.0846
389,QURU,5,AP ,11-Apr,30,0.82076,0.0274
749,QURU,5,AP ,11-Apr,60,1.4656,0.0244
1109,QURU,5,AP ,11-Apr,100,1.5769,0.0158
1469,QURU,5,AP ,11-Apr,160,1.8371,0.0115
1829,QURU,5,AP ,11-Apr,250,2.5769,0.0103
2189,QURU,5,AP ,11-Apr,500,2.7371,0.0055
2549,QURU,5,AP ,11-Apr,750,2.199,0.0029
2909,QURU,5,AP ,11-Apr,1000,2.1973,0.0022
30,QURU,6,AP ,11-Apr,6,0.35233,0.0587
390,QURU,6,AP ,11-Apr,30,0.55871,0.0186
750,QURU,6,AP ,11-Apr,60,0.98383,0.0164
1110,QURU,6,AP ,11-Apr,100,1.0244,0.0102
1470,QURU,6,AP ,11-Apr,160,1.4043,0.0088
1830,QURU,6,AP ,11-Apr,250,1.6288,0.0065
2190,QURU,6,AP ,11-Apr,500,1.5602,0.0031
2550,QURU,6,AP ,11-Apr,750,1.5031,0.002
2910,QURU,6,AP ,11-Apr,1000,1.8042,0.0018
31,TSCA,1,AP ,11-Apr,6,0.14632,0.0244
391,TSCA,1,AP ,11-Apr,30,0.62438,0.0208
751,TSCA,1,AP ,11-Apr,60,0.7083,0.0118
1111,TSCA,1,AP ,11-Apr,100,0.86708,0.0087
1471,TSCA,1,AP ,11-Apr,160,1.1924,0.0075
1831,TSCA,1,AP ,11-Apr,250,1.4031,0.0056
2191,TSCA,1,AP ,11-Apr,500,1.4743,0.0029
2551,TSCA,1,AP ,11-Apr,750,1.6177,0.0022
2911,TSCA,1,AP ,11-Apr,1000,1.526,0.0015
32,TSCA,2,AP ,11-Apr,6,0.13289,0.0221
392,TSCA,2,AP ,11-Apr,30,0.50126,0.0167
752,TSCA,2,AP ,11-Apr,60,0.78051,0.013
1112,TSCA,2,AP ,11-Apr,100,1.2533,0.0125
1472,TSCA,2,AP ,11-Apr,160,1.3927,0.0087
1832,TSCA,2,AP ,11-Apr,250,1.875,0.0075
2192,TSCA,2,AP ,11-Apr,500,2.2826,0.0046
2552,TSCA,2,AP ,11-Apr,750,2.7102,0.0036
2912,TSCA,2,AP ,11-Apr,1000,1.5175,0.0015
33,TSCA,3,AP ,11-Apr,6,0.22775,0.038
393,TSCA,3,AP ,11-Apr,30,0.68086,0.0227
753,TSCA,3,AP ,11-Apr,60,1.0096,0.0168
1113,TSCA,3,AP ,11-Apr,100,1.2575,0.0126
1473,TSCA,3,AP ,11-Apr,160,1.6475,0.0103
1833,TSCA,3,AP ,11-Apr,250,1.7622,0.007
2193,TSCA,3,AP ,11-Apr,500,1.8517,0.0037
2553,TSCA,3,AP ,11-Apr,750,1.6559,0.0022
2913,TSCA,3,AP ,11-Apr,1000,1.4761,0.0015
34,TSCA,4,AP ,11-Apr,6,0.29477,0.0491
394,TSCA,4,AP ,11-Apr,30,0.99909,0.0333
754,TSCA,4,AP ,11-Apr,60,1.9687,0.0328
1114,TSCA,4,AP ,11-Apr,100,2.3479,0.0235
1474,TSCA,4,AP ,11-Apr,160,3.1421,0.0196
1834,TSCA,4,AP ,11-Apr,250,3.3954,0.0136
2194,TSCA,4,AP ,11-Apr,500,3.9355,0.0079
2554,TSCA,4,AP ,11-Apr,750,3.8738,0.0052
2914,TSCA,4,AP ,11-Apr,1000,4.6087,0.0046
35,TSCA,5,AP ,11-Apr,6,0.25892,0.0432
395,TSCA,5,AP ,11-Apr,30,0.87593,0.0292
755,TSCA,5,AP ,11-Apr,60,1.4409,0.024
1115,TSCA,5,AP ,11-Apr,100,1.7807,0.0178
1475,TSCA,5,AP ,11-Apr,160,2.0632,0.0129
1835,TSCA,5,AP ,11-Apr,250,2.7277,0.0109
2195,TSCA,5,AP ,11-Apr,500,3.5925,0.0072
2555,TSCA,5,AP ,11-Apr,750,3.1146,0.0042
2915,TSCA,5,AP ,11-Apr,1000,5.4889,0.0055
36,TSCA,6,AP ,11-Apr,6,0.27791,0.0463
396,TSCA,6,AP ,11-Apr,30,0.85849,0.0286
756,TSCA,6,AP ,11-Apr,60,1.1676,0.0195
1116,TSCA,6,AP ,11-Apr,100,1.7154,0.0172
1476,TSCA,6,AP ,11-Apr,160,2.0491,0.0128
1836,TSCA,6,AP ,11-Apr,250,2.6585,0.0106
2196,TSCA,6,AP ,11-Apr,500,3.8928,0.0078
2556,TSCA,6,AP ,11-Apr,750,5.2336,0.007
2916,TSCA,6,AP ,11-Apr,1000,5.9511,0.006
37,FRAM,1,AP ,31-May,6,0.2807,0.0468
397,FRAM,1,AP ,31-May,30,0.94581,0.0315
757,FRAM,1,AP ,31-May,60,1.3956,0.0233
1117,FRAM,1,AP ,31-May,100,1.6726,0.0167
1477,FRAM,1,AP ,31-May,160,2.2583,0.0141
1837,FRAM,1,AP ,31-May,250,2.55,0.0102
2197,FRAM,1,AP ,31-May,500,3.0076,0.006
2557,FRAM,1,AP ,31-May,750,2.6714,0.0036
2917,FRAM,1,AP ,31-May,1000,2.7069,0.0027
38,FRAM,2,AP ,31-May,6,0.31517,0.0525
398,FRAM,2,AP ,31-May,30,1.0437,0.0348
758,FRAM,2,AP ,31-May,60,1.4979,0.025
1118,FRAM,2,AP ,31-May,100,1.9835,0.0198
1478,FRAM,2,AP ,31-May,160,2.0371,0.0127
1838,FRAM,2,AP ,31-May,250,2.5088,0.01
2198,FRAM,2,AP ,31-May,500,3.0174,0.006
2558,FRAM,2,AP ,31-May,750,2.5715,0.0034
2918,FRAM,2,AP ,31-May,1000,2.5271,0.0025
39,FRAM,3,AP ,31-May,6,0.24307,0.0405
399,FRAM,3,AP ,31-May,30,0.9031,0.0301
759,FRAM,3,AP ,31-May,60,1.2345,0.0206
1119,FRAM,3,AP ,31-May,100,1.4232,0.0142
1479,FRAM,3,AP ,31-May,160,1.7988,0.0112
1839,FRAM,3,AP ,31-May,250,1.9828,0.0079
2199,FRAM,3,AP ,31-May,500,2.5255,0.0051
2559,FRAM,3,AP ,31-May,750,2.4932,0.0033
2919,FRAM,3,AP ,31-May,1000,2.185,0.0022
40,FRAM,4,AP ,31-May,6,0.24952,0.0416
400,FRAM,4,AP ,31-May,30,0.94235,0.0314
760,FRAM,4,AP ,31-May,60,1.4441,0.0241
1120,FRAM,4,AP ,31-May,100,2.0325,0.0203
1480,FRAM,4,AP ,31-May,160,2.7459,0.0172
1840,FRAM,4,AP ,31-May,250,3.3228,0.0133
2200,FRAM,4,AP ,31-May,500,3.6236,0.0072
2560,FRAM,4,AP ,31-May,750,4.2617,0.0057
2920,FRAM,4,AP ,31-May,1000,3.9129,0.0039
41,FRAM,5,AP ,31-May,6,0.31641,0.0527
401,FRAM,5,AP ,31-May,30,1.0693,0.0356
761,FRAM,5,AP ,31-May,60,1.7103,0.0285
1121,FRAM,5,AP ,31-May,100,2.029,0.0203
1481,FRAM,5,AP ,31-May,160,2.4923,0.0156
1841,FRAM,5,AP ,31-May,250,3.1199,0.0125
2201,FRAM,5,AP ,31-May,500,3.5327,0.0071
2561,FRAM,5,AP ,31-May,750,3.626,0.0048
2921,FRAM,5,AP ,31-May,1000,3.4757,0.0035
42,FRAM,6,AP ,31-May,6,0.3372,0.0562
402,FRAM,6,AP ,31-May,30,1.3192,0.044
762,FRAM,6,AP ,31-May,60,2.1913,0.0365
1122,FRAM,6,AP ,31-May,100,3.1654,0.0317
1482,FRAM,6,AP ,31-May,160,3.7852,0.0237
1842,FRAM,6,AP ,31-May,250,4.4919,0.018
2202,FRAM,6,AP ,31-May,500,5.1688,0.0103
2562,FRAM,6,AP ,31-May,750,5.4428,0.0073
2922,FRAM,6,AP ,31-May,1000,5.303,0.0053
43,QURU,1,AP ,31-May,6,0.21425,0.0357
403,QURU,1,AP ,31-May,30,0.9973,0.0332
763,QURU,1,AP ,31-May,60,2.013,0.0336
1123,QURU,1,AP ,31-May,100,2.71,0.0271
1483,QURU,1,AP ,31-May,160,2.8399,0.0177
1843,QURU,1,AP ,31-May,250,3.3995,0.0136
2203,QURU,1,AP ,31-May,500,4.5737,0.0091
2563,QURU,1,AP ,31-May,750,4.0063,0.0053
2923,QURU,1,AP ,31-May,1000,3.8467,0.0038
44,QURU,2,AP ,31-May,6,0.15261,0.0254
404,QURU,2,AP ,31-May,30,0.46499,0.0155
764,QURU,2,AP ,31-May,60,0.82305,0.0137
1124,QURU,2,AP ,31-May,100,0.86729,0.0087
1484,QURU,2,AP ,31-May,160,1.2012,0.0075
1844,QURU,2,AP ,31-May,250,1.5339,0.0061
2204,QURU,2,AP ,31-May,500,1.5852,0.0032
2564,QURU,2,AP ,31-May,750,1.403,0.0019
2924,QURU,2,AP ,31-May,1000,1.6078,0.0016
45,QURU,3,AP ,31-May,6,0.2012,0.0335
405,QURU,3,AP ,31-May,30,0.50318,0.0168
765,QURU,3,AP ,31-May,60,0.79458,0.0132
1125,QURU,3,AP ,31-May,100,0.87659,0.0088
1485,QURU,3,AP ,31-May,160,1.1127,0.007
1845,QURU,3,AP ,31-May,250,1.3185,0.0053
2205,QURU,3,AP ,31-May,500,1.3123,0.0026
2565,QURU,3,AP ,31-May,750,1.3776,0.0018
2925,QURU,3,AP ,31-May,1000,1.2118,0.0012
46,QURU,4,AP ,31-May,6,0.21537,0.0359
406,QURU,4,AP ,31-May,30,0.82967,0.0277
766,QURU,4,AP ,31-May,60,1.4002,0.0233
1126,QURU,4,AP ,31-May,100,1.6643,0.0166
1486,QURU,4,AP ,31-May,160,2.2044,0.0138
1846,QURU,4,AP ,31-May,250,1.945,0.0078
2206,QURU,4,AP ,31-May,500,2.7594,0.0055
2566,QURU,4,AP ,31-May,750,3.0391,0.0041
2926,QURU,4,AP ,31-May,1000,2.6228,0.0026
47,QURU,5,AP ,31-May,6,0.23182,0.0386
407,QURU,5,AP ,31-May,30,0.80853,0.027
767,QURU,5,AP ,31-May,60,1.231,0.0205
1127,QURU,5,AP ,31-May,100,1.7248,0.0172
1487,QURU,5,AP ,31-May,160,2.2713,0.0142
1847,QURU,5,AP ,31-May,250,2.1723,0.0087
2207,QURU,5,AP ,31-May,500,2.5812,0.0052
2567,QURU,5,AP ,31-May,750,1.935,0.0026
2927,QURU,5,AP ,31-May,1000,2.1305,0.0021
48,QURU,6,AP ,31-May,6,0.21139,0.0352
408,QURU,6,AP ,31-May,30,0.75593,0.0252
768,QURU,6,AP ,31-May,60,0.98446,0.0164
1128,QURU,6,AP ,31-May,100,1.3974,0.014
1488,QURU,6,AP ,31-May,160,1.6405,0.0103
1848,QURU,6,AP ,31-May,250,1.5261,0.0061
2208,QURU,6,AP ,31-May,500,1.9951,0.004
2568,QURU,6,AP ,31-May,750,1.6943,0.0023
2928,QURU,6,AP ,31-May,1000,1.6192,0.0016
49,TSCA,1,AP ,31-May,6,0.20515,0.0342
409,TSCA,1,AP ,31-May,30,0.79222,0.0264
769,TSCA,1,AP ,31-May,60,1.17,0.0195
1129,TSCA,1,AP ,31-May,100,1.5909,0.0159
1489,TSCA,1,AP ,31-May,160,1.9629,0.0123
1849,TSCA,1,AP ,31-May,250,2.1537,0.0086
2209,TSCA,1,AP ,31-May,500,2.859,0.0057
2569,TSCA,1,AP ,31-May,750,3.0199,0.004
2929,TSCA,1,AP ,31-May,1000,2.8991,0.0029
50,TSCA,2,AP ,31-May,6,0.13544,0.0226
410,TSCA,2,AP ,31-May,30,0.51813,0.0173
770,TSCA,2,AP ,31-May,60,0.87704,0.0146
1130,TSCA,2,AP ,31-May,100,1.0904,0.0109
1490,TSCA,2,AP ,31-May,160,1.5029,0.0094
1850,TSCA,2,AP ,31-May,250,1.7626,0.0071
2210,TSCA,2,AP ,31-May,500,2.222,0.0044
2570,TSCA,2,AP ,31-May,750,2.3019,0.0031
2930,TSCA,2,AP ,31-May,1000,2.6901,0.0027
51,TSCA,3,AP ,31-May,6,0.15724,0.0262
411,TSCA,3,AP ,31-May,30,0.42594,0.0142
771,TSCA,3,AP ,31-May,60,0.5118,0.0085
1131,TSCA,3,AP ,31-May,100,0.78937,0.0079
